Score,Reference,Ligand
0.2014142335766424,Gabe,tetp
0.2057179752066106,Gabe,tetp
0.0680958083832342,Gabe,tetp
0.5703505535055344,Gabe,mtetp
0.41341194968553335,Gabe,mtetp
0.5645738045738032,Gabe,mtetp
0.2747009966777408,Gabe,tetpnop
0.07575284090909135,Gabe,tetpnop
0.0942045454545459,Gabe,tetpnop
0.2879335260115603,Gabe,mtetpnop
0.13549742710120086,Gabe,mtetpnop
0.12603508771929692,Gabe,mtetpnop
0.6157252141982853,Gabe,octp
0.4143826761473773,Gabe,octp
0.3294001297016851,Gabe,octp
0.32469262295081763,Gabe,moctp
0.54549799196787,Gabe,moctp
0.5548113964686989,Gabe,moctp
0.4055389221556871,Gabe,octpnop
0.09248166259168657,Gabe,octpnop
0.40479622641509416,Gabe,octpnop
0.5665117289313627,Gabe,moctpnop
0.6052375201288239,Gabe,moctpnop
0.6681841004184065,Gabe,moctpnop
0.4376253581661864,Joel,tetp
0.44723640856672014,Joel,tetp
0.5150215331610674,Joel,tetp
0.5741193656093475,Joel,mtetp
0.7145019157088119,Joel,mtetp
0.23093213409648314,Joel,mtetp
0.551694036300778,Joel,tetpnop
0.3073033707865151,Joel,tetpnop
0.12770428015564175,Joel,tetpnop
0.21353456669912305,Joel,mtetpnop
0.5519641294838122,Joel,mtetpnop
0.3659897172236491,Joel,mtetpnop
0.534632352941175,Joel,octp
0.4084525887143685,Joel,octp
0.40946098562628097,Joel,octp
0.5577196804647782,Joel,moctp
0.642694034637589,Joel,moctp
0.31514439220953544,Joel,moctp
0.3313048411497725,Joel,octpnop
0.08062698412698446,Joel,octpnop
0.29752215189873105,Joel,octpnop
0.6381606217616592,Joel,moctpnop
0.5016325785244665,Joel,moctpnop
0.2577093596059101,Joel,moctpnop
